C123Merged_EnvSNO,C123_Plot_SNO,PlotID_New,PSUID,PSU,Cluster,Plot_Pt,Cycle_PlotSNO,Cycle,Cycle_Year,X_NAD83,Y_NAD83,SampDate,Class,Soil_Dep_cm,WD_1_cm,WD_2_cm,WD_3_cm,WD_mean_cm,EDEN_WSE,EDEN_based_elev_cm,CLAJAM_ht_cm,PlotSamp_YN
84,84,P00034_N,P000,0,34,N,84,C1,Yr1,532498.5,2842290.2,3/22/2012,Slough,,32,,,32,156,124,0,
85,85,P00035_C,P000,0,35,C,85,C1,Yr1,532421,2842079.2,3/22/2012,Ridge,,5,,,5,156,151,100,
86,86,P00035_E,P000,0,35,E,86,C1,Yr1,532432.3,2842075.2,3/22/2012,Ridge,,0,,,0,156,156,200,
87,87,P00035_N,P000,0,35,N,87,C1,Yr1,532431.7,2842110.4,3/22/2012,Ridge,,14,,,14,156,142,100,
88,88,P00037_C,P000,0,37,C,88,C1,Yr1,532516,2842092.2,3/22/2012,Ridge,,5,,,5,156,151,100,
89,89,P00037_E,P000,0,37,E,89,C1,Yr1,532525.5,2842088.9,3/22/2012,Ridge,,31,,,31,156,125,0,
90,90,P00037_N,P000,0,37,N,90,C1,Yr1,532527.1,2842124.3,3/22/2012,Slough,,2,,,2,156,154,100,
91,91,P00041_C,P000,0,41,C,91,C1,Yr1,531882,2843834.2,3/27/2012,Ridge,,0,,,0,161,161,100,
92,92,P00041_E,P000,0,41,E,92,C1,Yr1,531912.3,2843823.7,3/27/2012,Ridge,,0,,,0,161,161,100,
93,93,P00041_N,P000,0,41,N,93,C1,Yr1,531884.6,2843841.7,3/27/2012,Ridge,,0,,,0,161,161,100,
94,94,P00042_C,P000,0,42,C,94,C1,Yr1,531896,2843853.2,3/27/2012,Ridge,,1,,,1,161,160,100,
95,95,P00042_E,P000,0,42,E,95,C1,Yr1,531925.3,2843843.1,3/27/2012,Ridge,,0,,,0,161,161,100,
96,96,P00042_N,P000,0,42,N,96,C1,Yr1,531899.9,2843864.5,3/27/2012,Ridge,,0,,,0,161,161,100,
97,97,P00043_C,P000,0,43,C,97,C1,Yr1,531854,2843731.2,3/27/2012,Ridge,,0,,,0,161,161,100,
98,98,P00043_E,P000,0,43,E,98,C1,Yr1,531870.1,2843725.6,3/27/2012,Ridge,,0,,,0,161,161,100,
99,99,P00043_N,P000,0,43,N,99,C1,Yr1,531857.6,2843741.6,3/27/2012,Ridge,,0,,,0,161,161,100,
100,100,P00044_C,P000,0,44,C,100,C1,Yr1,531826,2843945.2,3/27/2012,Ridge,,1,,,1,161,160,100,
101,101,P00044_E,P000,0,44,E,101,C1,Yr1,531829.8,2843943.8,3/27/2012,Ridge,,0,,,0,161,161,100,
102,102,P00044_N,P000,0,44,N,102,C1,Yr1,531836.1,2843974.5,3/27/2012,Ridge,,1,,,1,161,160,200,
103,103,P00045_C,P000,0,45,C,103,C1,Yr1,531730,2843723.2,3/27/2012,Ridge,,8,,,8,161,153,100,
104,104,P00045_E,P000,0,45,E,104,C1,Yr1,531752.7,2843715.3,3/27/2012,Ridge,,3,,,3,161,158,100,
105,105,P00045_N,P000,0,45,N,105,C1,Yr1,531736.5,2843742.1,3/27/2012,Ridge,,4,,,4,161,157,100,
106,106,P00046_C,P000,0,46,C,106,C1,Yr1,532280,2843967.2,3/27/2012,Wet Prairie,,7,,,7,162,155,100,
107,107,P00046_E,P000,0,46,E,107,C1,Yr1,532311.2,2843956.4,3/27/2012,Ridge,,9,,,9,162,153,100,
108,108,P00046_N,P000,0,46,N,108,C1,Yr1,532282.9,2843975.7,3/27/2012,Wet Prairie,,6,,,6,162,156,100,
109,109,P00047_C,P000,0,47,C,109,C1,Yr1,532411,2844001.2,3/27/2012,Ridge,,0,,,0,166,166,100,
110,110,P00047_E,P000,0,47,E,110,C1,Yr1,532440.3,2843991.1,3/27/2012,Wet Prairie,,0,,,0,163,163,100,
111,111,P00047_N,P000,0,47,N,111,C1,Yr1,532422.4,2844034.2,3/27/2012,Ridge,,0,,,0,166,166,100,
112,112,P00048_C,P000,0,48,C,112,C1,Yr1,532285,2843885.2,3/27/2012,Ridge,,4,,,4,162,158,100,
113,113,P00048_E,P000,0,48,E,113,C1,Yr1,532295.4,2843881.6,3/27/2012,Ridge,,1,,,1,162,161,100,
114,114,P00048_N,P000,0,48,N,114,C1,Yr1,532289.9,2843899.3,3/27/2012,Ridge,,1,,,1,162,161,100,
115,115,P00049_C,P000,0,49,C,115,C1,Yr1,532263,2844061.2,3/27/2012,Ridge,,4,,,4,165,161,100,
116,116,P00049_E,P000,0,49,E,116,C1,Yr1,532276.2,2844056.6,3/27/2012,Ridge,,3,,,3,165,162,100,
117,117,P00049_N,P000,0,49,N,117,C1,Yr1,532264,2844064,3/27/2012,Ridge,,2,,,2,165,163,100,
118,118,P00050_C,P000,0,50,C,118,C1,Yr1,532229,2843903.2,3/27/2012,Ridge,,5,,,5,162,157,100,
119,119,P00050_E,P000,0,50,E,119,C1,Yr1,532253.6,2843894.7,3/27/2012,Ridge,,7,,,7,162,155,100,
120,120,P00050_N,P000,0,50,N,120,C1,Yr1,532234.5,2843919.2,3/27/2012,Ridge,,3,,,3,162,159,100,
121,121,P00066_C,P000,0,66,C,121,C1,Yr1,532366,2844188.2,3/27/2012,Wet Prairie,,7,,,7,165,158,100,
122,122,P00066_E,P000,0,66,E,122,C1,Yr1,532368.8,2844187.2,3/27/2012,Wet Prairie,,8,,,8,165,157,100,
123,123,P00066_N,P000,0,66,N,123,C1,Yr1,532369.6,2844198.6,3/27/2012,Ridge,,13,,,13,165,152,100,
124,124,P00067_C,P000,0,67,C,124,C1,Yr1,532376,2844201.2,3/27/2012,Ridge,,6,,,6,165,159,100,
125,125,P00067_E,P000,0,67,E,125,C1,Yr1,532406.3,2844190.7,3/27/2012,Wet Prairie,,0,,,0,166,166,100,
126,126,P00067_N,P000,0,67,N,126,C1,Yr1,532379.6,2844211.6,3/27/2012,Ridge,,6,,,6,165,159,100,
127,127,P00068_C,P000,0,68,C,127,C1,Yr1,532342,2844093.2,3/27/2012,Ridge,,5,,,5,165,160,100,
128,128,P00068_E,P000,0,68,E,128,C1,Yr1,532370.4,2844083.4,3/27/2012,Ridge,,3,,,3,165,162,100,
129,129,P00068_N,P000,0,68,N,129,C1,Yr1,532343.6,2844097.9,3/27/2012,Ridge,,5,,,5,165,160,100,
130,130,P00069_C,P000,0,69,C,130,C1,Yr1,532368,2844339.2,3/27/2012,Ridge,,6,,,6,165,159,100,
131,131,P00069_E,P000,0,69,E,131,C1,Yr1,532396.4,2844329.4,3/27/2012,Wet Prairie,,7,,,7,165,158,100,
132,132,P00069_N,P000,0,69,N,132,C1,Yr1,532376.8,2844364.7,3/27/2012,Ridge,,6,,,6,165,159,0,
133,133,P00070_C,P000,0,70,C,133,C1,Yr1,532288,2844157.2,3/27/2012,Ridge,,2,,,2,165,163,100,
134,134,P00070_E,P000,0,70,E,134,C1,Yr1,532305,2844151.3,3/27/2012,Ridge,,0,,,0,165,165,100,
135,135,P00070_N,P000,0,70,N,135,C1,Yr1,532293.2,2844172.3,3/27/2012,Ridge/Wet Prairie,,6,,,6,165,159,100,
136,142,P00101_C,P001,1,1,C,136,C1,Yr1,566611.2,2940954.8,9/18/2009,Slough,,29,,,29,468,439,100,
137,143,P00101_E,P001,1,1,E,137,C1,Yr1,566615,2940956.1,9/18/2009,Tree Island,,23,,,23,468,445,200,
138,144,P00102_C,P001,1,2,C,138,C1,Yr1,566470.5,2941000.6,9/18/2009,Ridge/Slough,,32,,,32,468,436,100,
139,145,P00102_E,P001,1,2,E,139,C1,Yr1,566480,2941003.9,9/18/2009,Tree Island,,27,,,27,468,441,300,
140,146,P00103_C,P001,1,3,C,140,C1,Yr1,566582.9,2941025.6,9/18/2009,Slough,,29,,,29,468,439,0,
141,147,P00103_E,P001,1,3,E,141,C1,Yr1,566594.3,2941029.5,9/18/2009,Slough,,29,,,29,468,439,0,
142,149,P00104_C,P001,1,4,C,142,C1,Yr1,566666.5,2941037.1,9/18/2009,Slough,,44,,,44,468,424,0,
143,150,P00104_E,P001,1,4,E,143,C1,Yr1,566676.9,2941040.6,9/18/2009,Slough,,26,,,26,468,442,0,
144,152,P00105_C,P001,1,5,C,144,C1,Yr1,566702,2940915.4,9/18/2009,Slough,,29,,,29,468,439,0,
145,153,P00105_E,P001,1,5,E,145,C1,Yr1,566710.5,2940918.3,9/18/2009,Slough,,33,,,33,468,435,0,
146,155,P00106_C,P001,1,6,C,146,C1,Yr1,566678.9,2940964,9/18/2009,Ridge,,24,,,24,468,444,0,
147,156,P00106_E,P001,1,6,E,147,C1,Yr1,566688.3,2940967.3,9/18/2009,Tree Island,,23,,,23,468,445,0,
148,157,P00107_C,P001,1,7,C,148,C1,Yr1,566640.7,2940826.5,9/18/2009,Ridge,,23,,,23,468,445,300,
149,158,P00107_E,P001,1,7,E,149,C1,Yr1,566645.5,2940828.1,9/18/2009,Ridge,,21,,,21,468,447,300,
150,160,P00108_C,P001,1,8,C,150,C1,Yr1,566555.1,2940822.7,9/18/2009,Slough,,25,,,25,468,443,0,
151,161,P00108_E,P001,1,8,E,151,C1,Yr1,566563.6,2940825.6,9/18/2009,Slough,,24,,,24,468,444,0,
152,163,P00109_C,P001,1,9,C,152,C1,Yr1,566624.1,2940969.3,9/18/2009,Ridge,,23,,,23,468,445,200,
153,164,P00109_E,P001,1,9,E,153,C1,Yr1,566630.7,2940971.6,9/18/2009,Slough,,34,,,34,468,434,0,
154,166,P00110_C,P001,1,10,C,154,C1,Yr1,566667.3,2940886.4,9/18/2009,Tree Island,,27,,,27,468,441,200,
155,167,P00110_E,P001,1,10,E,155,C1,Yr1,566675.8,2940889.4,9/18/2009,Ridge,,17,,,17,468,451,0,
156,169,P00111_C,P001,1,11,C,156,C1,Yr1,567154.2,2941468.3,9/18/2009,Ridge,,30,,,30,468,438,200,
157,170,P00111_E,P001,1,11,E,157,C1,Yr1,567165.5,2941472.2,9/18/2009,Ridge,,25,,,25,468,443,300,
158,172,P00112_C,P001,1,12,C,158,C1,Yr1,567017.8,2941462,9/18/2009,Ridge/Slough,,27,,,27,468,441,100,
159,173,P00112_E,P001,1,12,E,159,C1,Yr1,567027.3,2941465.3,9/18/2009,Ridge,,25,,,25,468,443,200,
160,174,P00113_C,P001,1,13,C,160,C1,Yr1,567040.7,2941651.5,9/18/2009,Slough,,32,,,32,468,436,100,
161,175,P00113_E,P001,1,13,E,161,C1,Yr1,567049.2,2941654.5,9/18/2009,Slough,,31,,,31,468,437,0,
162,177,P00114_C,P001,1,14,C,162,C1,Yr1,566979.1,2941626.8,9/18/2009,Ridge,,28,,,28,468,440,100,
163,178,P00114_E,P001,1,14,E,163,C1,Yr1,566985.7,2941629.1,9/18/2009,Ridge,,30,,,30,468,438,100,
164,179,P00115_C,P001,1,15,C,164,C1,Yr1,567000.5,2941718.9,9/18/2009,Ridge,,21,,,21,468,447,200,
165,180,P00115_E,P001,1,15,E,165,C1,Yr1,567009,2941721.8,9/18/2009,Ridge,,24,,,24,468,444,200,
166,181,P00116_C,P001,1,16,C,166,C1,Yr1,566870.9,2941554.3,9/18/2009,Ridge,,30,,,30,468,438,100,
167,182,P00116_E,P001,1,16,E,167,C1,Yr1,566881.3,2941557.9,9/18/2009,Tree Island,,15,,,15,468,453,0,
168,183,P00117_C,P001,1,17,C,168,C1,Yr1,566959.4,2941767.4,9/18/2009,Slough,,31,,,31,468,437,0,
169,184,P00117_E,P001,1,17,E,169,C1,Yr1,566968.9,2941770.7,9/18/2009,Slough,,31,,,31,468,437,0,
170,186,P00118_C,P001,1,18,C,170,C1,Yr1,567039.8,2941628.3,9/18/2009,Slough,,25,,,25,468,443,200,
171,187,P00118_E,P001,1,18,E,171,C1,Yr1,567046.5,2941630.6,9/18/2009,Ridge,,30,,,30,468,438,100,
172,188,P00119_C,P001,1,19,C,172,C1,Yr1,567001.1,2941428.7,9/18/2009,Slough,,30,,,30,468,438,100,
173,189,P00119_E,P001,1,19,E,173,C1,Yr1,567009.6,2941431.6,9/18/2009,Slough,,29,,,29,468,439,0,
174,190,P00120_C,P001,1,20,C,174,C1,Yr1,566947.4,2941593.5,9/18/2009,Ridge,,21,,,21,468,447,200,
175,191,P00120_E,P001,1,20,E,175,C1,Yr1,566951.2,2941594.8,9/18/2009,Ridge,,22,,,22,468,446,200,
176,192,P00121_C,P001,1,21,C,176,C1,Yr1,567776.9,2941030.7,9/18/2009,Slough,,31,,,31,468,437,0,
177,193,P00121_E,P001,1,21,E,177,C1,Yr1,567778.8,2941031.4,9/18/2009,Slough,,33,,,33,468,435,0,
178,195,P00122_C,P001,1,22,C,178,C1,Yr1,567814.3,2941117.3,9/18/2009,Ridge,,24,,,24,468,444,100,
179,196,P00122_E,P001,1,22,E,179,C1,Yr1,567822.8,2941120.3,9/18/2009,Ridge,,20,,,20,468,448,200,
180,198,P00123_C,P001,1,23,C,180,C1,Yr1,567640.9,2941315.8,9/18/2009,Ridge,,37,,,37,468,431,200,
181,199,P00123_E,P001,1,23,E,181,C1,Yr1,567651.3,2941319.4,9/18/2009,Tree Island,,0,,,0,468,468,0,
182,200,P00124_C,P001,1,24,C,182,C1,Yr1,567777.9,2941212.4,9/18/2009,Ridge,,22,,,22,468,446,300,
183,201,P00124_E,P001,1,24,E,183,C1,Yr1,567784.5,2941214.7,9/18/2009,Tree Island,,14,,,14,468,454,300,
184,202,P00125_C,P001,1,25,C,184,C1,Yr1,567731.3,2940990.6,9/18/2009,Slough,,32,,,32,468,436,0,
185,203,P00125_E,P001,1,25,E,185,C1,Yr1,567740.8,2940993.9,9/18/2009,Slough,,31,,,31,468,437,0,
186,205,P00126_C,P001,1,26,C,186,C1,Yr1,567798,2941362,9/18/2009,Ridge,,30,,,30,468,438,200,
187,206,P00126_E,P001,1,26,E,187,C1,Yr1,567808.4,2941365.6,9/18/2009,Ridge,,26,,,26,468,442,300,
188,208,P00127_C,P001,1,27,C,188,C1,Yr1,567698.8,2941305,9/18/2009,Slough,,35,,,35,468,433,0,
189,209,P00127_E,P001,1,27,E,189,C1,Yr1,567708.2,2941308.3,9/18/2009,Slough,,39,,,39,468,429,0,
190,211,P00128_C,P001,1,28,C,190,C1,Yr1,567714,2941430.3,9/18/2009,Ridge,,29,,,29,468,439,100,
191,212,P00128_E,P001,1,28,E,191,C1,Yr1,567724.4,2941433.8,9/18/2009,Slough,,31,,,31,468,437,0,
192,213,P00129_C,P001,1,29,C,192,C1,Yr1,567631.8,2941354.5,9/18/2009,Slough,,32,,,32,468,436,0,
193,214,P00129_E,P001,1,29,E,193,C1,Yr1,567638.4,2941356.8,9/18/2009,Slough,,35,,,35,468,433,0,
194,216,P00130_C,P001,1,30,C,194,C1,Yr1,567723.4,2941162.3,9/18/2009,Slough,,35,,,35,468,433,0,
195,217,P00130_E,P001,1,30,E,195,C1,Yr1,567732.9,2941165.5,9/18/2009,Slough,,36,,,36,468,432,0,
196,219,P00131_C,P001,1,31,C,196,C1,Yr1,566453.9,2942474.7,9/18/2009,Tree Island,,25,,,25,468,443,100,
197,220,P00131_E,P001,1,31,E,197,C1,Yr1,566461.5,2942477.3,9/18/2009,Ridge,,23,,,23,468,445,200,
198,221,P00132_C,P001,1,32,C,198,C1,Yr1,566343.9,2942381.1,9/18/2009,Slough,,31,,,31,468,437,0,
199,222,P00132_E,P001,1,32,E,199,C1,Yr1,566350.5,2942383.4,9/18/2009,Slough,,29,,,29,468,439,0,
200,224,P00133_C,P001,1,33,C,200,C1,Yr1,566477,2942431.7,9/18/2009,Ridge,,26,,,26,468,442,100,
201,225,P00133_E,P001,1,33,E,201,C1,Yr1,566479.9,2942432.6,9/18/2009,Ridge,,23,,,23,468,445,100,
202,227,P00134_C,P001,1,34,C,202,C1,Yr1,566526.3,2942337.8,9/18/2009,Ridge,,24,,,24,468,444,200,
203,228,P00134_E,P001,1,34,E,203,C1,Yr1,566532.9,2942340,9/18/2009,Ridge,,25,,,25,468,443,100,
204,229,P00135_C,P001,1,35,C,204,C1,Yr1,566332,2942370,9/18/2009,Ridge,,21,,,21,468,447,200,
205,230,P00135_E,P001,1,35,E,205,C1,Yr1,566341.4,2942373.2,9/18/2009,Ridge,,28,,,28,468,440,100,
