PSU_CY,PSU_CY_YR,PSU_ID,PSU,PLOT,CLUS,POINT,EAST_UTM_NAD83,NORTH_UTM_NAD83,SampDate,WD1,WD2,WD3,WD_MN,CLAJAM_HT,HABITAT_L2,DATASHEET,EDENWSE,SOILDEP,GR_ELEV,BR_ELEV,SOILDEP_corr,MAP_CLASS,MAP_CLASS_corr,OBSERVER
C1,1,0,P000,08_N,8,N,531430,2841002,3/20/2012,12,NA,NA,12,2,Ridge,NA,152,NA,140,NA,NA,NA,NA,NA
C1,1,0,P000,09_C,9,C,531358,2841220,3/20/2012,12,NA,NA,12,2,Ridge,NA,153,NA,141,NA,NA,NA,NA,NA
C1,1,0,P000,09_E,9,E,531390,2841209,3/20/2012,11,NA,NA,11,2,Ridge,NA,153,NA,142,NA,NA,NA,NA,NA
C1,1,0,P000,09_N,9,N,531362,2841231,3/20/2012,0,NA,NA,0,2,Ridge,NA,153,NA,153,NA,NA,NA,NA,NA
C1,1,0,P000,10_C,10,C,531241,2841050,3/20/2012,20,NA,NA,20,0,Slough/Wet Prairie,NA,152,NA,132,NA,NA,NA,NA,NA
C1,1,0,P000,10_E,10,E,531247,2841048,3/20/2012,16,NA,NA,16,0,Slough/Wet Prairie,NA,152,NA,136,NA,NA,NA,NA,NA
C1,1,0,P000,10_N,10,N,531244,2841060,3/20/2012,19,NA,NA,19,0,Slough/Wet Prairie,NA,152,NA,133,NA,NA,NA,NA,NA
C1,1,0,P000,11_C,11,C,531922,2840695,3/20/2012,19,NA,NA,19,2,Ridge/Wet Prairie,NA,149,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,11_E,11,E,531944,2840688,3/20/2012,14,NA,NA,14,2,Ridge/Wet Prairie,NA,149,NA,135,NA,NA,NA,NA,NA
C1,1,0,P000,11_N,11,N,531924,2840700,3/20/2012,22,NA,NA,22,2,Ridge/Slough,NA,149,NA,127,NA,NA,NA,NA,NA
C1,1,0,P000,12_C,12,C,531958,2840686,3/20/2012,19,NA,NA,19,0,Wet Prairie,NA,149,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,12_E,12,E,531987,2840676,3/20/2012,21,NA,NA,21,0,Wet Prairie,NA,149,NA,128,NA,NA,NA,NA,NA
C1,1,0,P000,12_N,12,N,531965,2840708,3/20/2012,9,NA,NA,9,2,Wet Prairie,NA,149,NA,140,NA,NA,NA,NA,NA
C1,1,0,P000,13_C,13,C,531990,2840591,3/20/2012,6,NA,NA,6,2,Ridge,NA,149,NA,143,NA,NA,NA,NA,NA
C1,1,0,P000,13_E,13,E,532008,2840585,3/20/2012,16,NA,NA,16,0,Ridge,NA,148,NA,132,NA,NA,NA,NA,NA
C1,1,0,P000,13_N,13,N,532000,2840620,3/20/2012,4,NA,NA,4,2,Wet Prairie,NA,149,NA,145,NA,NA,NA,NA,NA
C1,1,0,P000,14_C,14,C,531909,2840845,3/20/2012,20,NA,NA,20,0,Wet Prairie,NA,152,NA,132,NA,NA,NA,NA,NA
C1,1,0,P000,14_E,14,E,531935,2840836,3/20/2012,19,NA,NA,19,2,Wet Prairie,NA,152,NA,133,NA,NA,NA,NA,NA
C1,1,0,P000,14_N,14,N,531913,2840856,3/20/2012,24,NA,NA,24,0,Ridge/Wet Prairie,NA,152,NA,128,NA,NA,NA,NA,NA
C1,1,0,P000,15_C,15,C,531794,2840631,3/20/2012,10,NA,NA,10,2,Ridge,NA,149,NA,139,NA,NA,NA,NA,NA
C1,1,0,P000,15_E,15,E,531814,2840624,3/20/2012,12,NA,NA,12,2,Ridge,NA,149,NA,137,NA,NA,NA,NA,NA
C1,1,0,P000,15_N,15,N,531804,2840660,3/20/2012,12,NA,NA,12,2,Ridge/Wet Prairie,NA,149,NA,137,NA,NA,NA,NA,NA
C1,1,0,P000,21_C,21,C,531247,2842434,3/22/2012,5,NA,NA,5,2,Ridge,NA,159,NA,154,NA,NA,NA,NA,NA
C1,1,0,P000,21_E,21,E,531277,2842424,3/22/2012,4,NA,NA,4,2,Ridge,NA,159,NA,155,NA,NA,NA,NA,NA
C1,1,0,P000,21_N,21,N,531249,2842439,3/22/2012,3,NA,NA,3,2,Ridge,NA,159,NA,156,NA,NA,NA,NA,NA
C1,1,0,P000,22_C,22,C,531263,2842444,3/22/2012,0,NA,NA,0,2,Ridge,NA,159,NA,159,NA,NA,NA,NA,NA
C1,1,0,P000,22_E,22,E,531280,2842438,3/22/2012,4,NA,NA,4,2,Ridge,NA,159,NA,155,NA,NA,NA,NA,NA
C1,1,0,P000,22_N,22,N,531274,2842475,3/22/2012,1,NA,NA,1,2,Ridge,NA,159,NA,158,NA,NA,NA,NA,NA
C1,1,0,P000,23_C,23,C,531282,2842266,3/22/2012,15,NA,NA,15,0,Wet Prairie,NA,157,NA,142,NA,NA,NA,NA,NA
C1,1,0,P000,23_E,23,E,531291,2842263,3/22/2012,5,NA,NA,5,2,Ridge/Wet Prairie,NA,157,NA,152,NA,NA,NA,NA,NA
C1,1,0,P000,23_N,23,N,531293,2842297,3/22/2012,9,NA,NA,9,1,Ridge/Wet Prairie,NA,157,NA,148,NA,NA,NA,NA,NA
C1,1,0,P000,24_C,24,C,531208,2842536,3/22/2012,0,NA,NA,0,1,Ridge/Tree Island,NA,159,NA,159,NA,NA,NA,NA,NA
C1,1,0,P000,24_E,24,E,531235,2842527,3/22/2012,5,NA,NA,5,3,Ridge/Tree Island,NA,159,NA,154,NA,NA,NA,NA,NA
C1,1,0,P000,24_N,24,N,531218,2842566,3/22/2012,0,NA,NA,0,2,Ridge,NA,159,NA,159,NA,NA,NA,NA,NA
C1,1,0,P000,25_C,25,C,531183,2842447,3/22/2012,4,NA,NA,4,1,Ridge,NA,158,NA,154,NA,NA,NA,NA,NA
C1,1,0,P000,25_E,25,E,531192,2842444,3/22/2012,8,NA,NA,8,2,Ridge,NA,158,NA,150,NA,NA,NA,NA,NA
C1,1,0,P000,25_N,25,N,531187,2842458,3/22/2012,2,NA,NA,2,1,Ridge/Wet Prairie,NA,158,NA,156,NA,NA,NA,NA,NA
C1,1,0,P000,26_C,26,C,531899,2842518,3/22/2012,6,NA,NA,6,2,Ridge,NA,160,NA,154,NA,NA,NA,NA,NA
C1,1,0,P000,26_E,26,E,531919,2842511,3/22/2012,2,NA,NA,2,2,Ridge,NA,160,NA,158,NA,NA,NA,NA,NA
C1,1,0,P000,26_N,26,N,531910,2842549,3/22/2012,0,NA,NA,0,2,Ridge,NA,160,NA,160,NA,NA,NA,NA,NA
C1,1,0,P000,27_C,27,C,532014,2842603,3/22/2012,22,NA,NA,22,0,Slough,NA,161,NA,139,NA,NA,NA,NA,NA
C1,1,0,P000,27_E,27,E,532025,2842599,3/22/2012,19,NA,NA,19,0,Slough,NA,161,NA,142,NA,NA,NA,NA,NA
C1,1,0,P000,27_N,27,N,532025,2842634,3/22/2012,19,NA,NA,19,0,Wet Prairie,NA,161,NA,142,NA,NA,NA,NA,NA
C1,1,0,P000,28_C,28,C,531931,2842499,3/22/2012,3,NA,NA,3,2,Ridge,NA,160,NA,157,NA,NA,NA,NA,NA
C1,1,0,P000,28_E,28,E,531951,2842492,3/22/2012,5,NA,NA,5,2,Ridge,NA,160,NA,155,NA,NA,NA,NA,NA
C1,1,0,P000,28_N,28,N,531938,2842521,3/22/2012,11,NA,NA,11,2,Ridge,NA,160,NA,149,NA,NA,NA,NA,NA
C1,1,0,P000,29_C,29,C,531899,2842647,3/22/2012,5,NA,NA,5,1,Ridge,NA,160,NA,155,NA,NA,NA,NA,NA
C1,1,0,P000,29_E,29,E,531914,2842642,3/22/2012,7,NA,NA,7,1,Ridge,NA,160,NA,153,NA,NA,NA,NA,NA
C1,1,0,P000,29_N,29,N,531908,2842674,3/22/2012,2,NA,NA,2,1,Ridge,NA,160,NA,158,NA,NA,NA,NA,NA
C1,1,0,P000,30_C,30,C,531862,2842515,3/22/2012,3,NA,NA,3,2,Ridge/Wet Prairie,NA,160,NA,157,NA,NA,NA,NA,NA
C1,1,0,P000,30_E,30,E,531883,2842508,3/22/2012,0,NA,NA,0,2,Ridge,NA,160,NA,160,NA,NA,NA,NA,NA
C1,1,0,P000,30_N,30,N,531864,2842521,3/22/2012,7,NA,NA,7,2,Ridge/Tree Island,NA,160,NA,153,NA,NA,NA,NA,NA
C1,1,0,P000,32_C,32,C,532023,2842087,3/22/2012,23,NA,NA,23,0,Slough,NA,158,NA,135,NA,NA,NA,NA,NA
C1,1,0,P000,32_E,32,E,532027,2842086,3/22/2012,21,NA,NA,21,0,Slough,NA,158,NA,137,NA,NA,NA,NA,NA
C1,1,0,P000,32_N,32,N,532031,2842112,3/22/2012,23,NA,NA,23,0,Wet Prairie,NA,158,NA,135,NA,NA,NA,NA,NA
C1,1,0,P000,33_C,33,C,532522,2841954,3/22/2012,21,NA,NA,21,0,Slough,NA,155,NA,134,NA,NA,NA,NA,NA
C1,1,0,P000,33_E,33,E,532547,2841946,3/22/2012,25,NA,NA,25,2,Slough,NA,155,NA,130,NA,NA,NA,NA,NA
C1,1,0,P000,33_N,33,N,532530,2841977,3/22/2012,27,NA,NA,27,0,Ridge/Slough,NA,155,NA,128,NA,NA,NA,NA,NA
C1,1,0,P000,34_C,34,C,532493,2842274,3/22/2012,25,NA,NA,25,2,Ridge/Slough,NA,158,NA,133,NA,NA,NA,NA,NA
C1,1,0,P000,34_E,34,E,532525,2842263,3/22/2012,23,NA,NA,23,0,Slough,NA,158,NA,135,NA,NA,NA,NA,NA
C1,1,0,P000,34_N,34,N,532499,2842290,3/22/2012,32,NA,NA,32,0,Slough,NA,158,NA,126,NA,NA,NA,NA,NA
C1,1,0,P000,35_C,35,C,532421,2842079,3/22/2012,5,NA,NA,5,1,Ridge,NA,158,NA,153,NA,NA,NA,NA,NA
C1,1,0,P000,35_E,35,E,532432,2842075,3/22/2012,0,NA,NA,0,2,Ridge,NA,158,NA,158,NA,NA,NA,NA,NA
C1,1,0,P000,35_N,35,N,532432,2842110,3/22/2012,14,NA,NA,14,1,Ridge,NA,158,NA,144,NA,NA,NA,NA,NA
C1,1,0,P000,37_C,37,C,532516,2842092,3/22/2012,5,NA,NA,5,1,Ridge,NA,158,NA,153,NA,NA,NA,NA,NA
C1,1,0,P000,37_E,37,E,532525,2842089,3/22/2012,31,NA,NA,31,0,Ridge,NA,158,NA,127,NA,NA,NA,NA,NA
C1,1,0,P000,37_N,37,N,532527,2842124,3/22/2012,2,NA,NA,2,1,Slough,NA,158,NA,156,NA,NA,NA,NA,NA
C1,1,0,P000,41_C,41,C,531882,2843834,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,41_E,41,E,531912,2843824,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,41_N,41,N,531885,2843842,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,42_C,42,C,531896,2843853,3/27/2012,1,NA,NA,1,1,Ridge,NA,167,NA,166,NA,NA,NA,NA,NA
C1,1,0,P000,42_E,42,E,531925,2843843,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,42_N,42,N,531900,2843864,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,43_C,43,C,531854,2843731,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,43_E,43,E,531870,2843726,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,43_N,43,N,531858,2843742,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,44_C,44,C,531826,2843945,3/27/2012,1,NA,NA,1,1,Ridge,NA,167,NA,166,NA,NA,NA,NA,NA
C1,1,0,P000,44_E,44,E,531830,2843944,3/27/2012,0,NA,NA,0,1,Ridge,NA,167,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,44_N,44,N,531836,2843974,3/27/2012,1,NA,NA,1,2,Ridge,NA,167,NA,166,NA,NA,NA,NA,NA
C1,1,0,P000,45_C,45,C,531730,2843723,3/27/2012,8,NA,NA,8,1,Ridge,NA,167,NA,159,NA,NA,NA,NA,NA
C1,1,0,P000,45_E,45,E,531753,2843715,3/27/2012,3,NA,NA,3,1,Ridge,NA,167,NA,164,NA,NA,NA,NA,NA
C1,1,0,P000,45_N,45,N,531737,2843742,3/27/2012,4,NA,NA,4,1,Ridge,NA,167,NA,163,NA,NA,NA,NA,NA
C1,1,0,P000,46_C,46,C,532280,2843967,3/27/2012,7,NA,NA,7,1,Wet Prairie,NA,168,NA,161,NA,NA,NA,NA,NA
C1,1,0,P000,46_E,46,E,532311,2843956,3/27/2012,9,NA,NA,9,1,Ridge,NA,168,NA,159,NA,NA,NA,NA,NA
C1,1,0,P000,46_N,46,N,532283,2843976,3/27/2012,6,NA,NA,6,1,Wet Prairie,NA,168,NA,162,NA,NA,NA,NA,NA
C1,1,0,P000,47_C,47,C,532411,2844001,3/27/2012,0,NA,NA,0,1,Ridge,NA,173,NA,173,NA,NA,NA,NA,NA
C1,1,0,P000,47_E,47,E,532440,2843991,3/27/2012,0,NA,NA,0,1,Wet Prairie,NA,170,NA,170,NA,NA,NA,NA,NA
C1,1,0,P000,47_N,47,N,532422,2844034,3/27/2012,0,NA,NA,0,1,Ridge,NA,173,NA,173,NA,NA,NA,NA,NA
C1,1,0,P000,48_C,48,C,532285,2843885,3/27/2012,4,NA,NA,4,1,Ridge,NA,168,NA,164,NA,NA,NA,NA,NA
C1,1,0,P000,48_E,48,E,532295,2843882,3/27/2012,1,NA,NA,1,1,Ridge,NA,168,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,48_N,48,N,532290,2843899,3/27/2012,1,NA,NA,1,1,Ridge,NA,168,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,49_C,49,C,532263,2844061,3/27/2012,4,NA,NA,4,1,Ridge,NA,171,NA,167,NA,NA,NA,NA,NA
C1,1,0,P000,49_E,49,E,532276,2844057,3/27/2012,3,NA,NA,3,1,Ridge,NA,171,NA,168,NA,NA,NA,NA,NA
C1,1,0,P000,49_N,49,N,532264,2844064,3/27/2012,2,NA,NA,2,1,Ridge,NA,171,NA,169,NA,NA,NA,NA,NA
C1,1,0,P000,50_C,50,C,532229,2843903,3/27/2012,5,NA,NA,5,1,Ridge,NA,168,NA,163,NA,NA,NA,NA,NA
C1,1,0,P000,50_E,50,E,532254,2843895,3/27/2012,7,NA,NA,7,1,Ridge,NA,168,NA,161,NA,NA,NA,NA,NA
C1,1,0,P000,50_N,50,N,532235,2843919,3/27/2012,3,NA,NA,3,1,Ridge,NA,168,NA,165,NA,NA,NA,NA,NA
C1,1,0,P000,66_C,66,C,532366,2844188,3/27/2012,7,NA,NA,7,1,Wet Prairie,NA,171,NA,164,NA,NA,NA,NA,NA
C1,1,0,P000,66_E,66,E,532369,2844187,3/27/2012,8,NA,NA,8,1,Wet Prairie,NA,171,NA,163,NA,NA,NA,NA,NA
C1,1,0,P000,66_N,66,N,532370,2844199,3/27/2012,13,NA,NA,13,1,Ridge,NA,171,NA,158,NA,NA,NA,NA,NA
C1,1,0,P000,67_C,67,C,532376,2844201,3/27/2012,6,NA,NA,6,1,Ridge,NA,171,NA,165,NA,NA,NA,NA,NA
C1,1,0,P000,67_E,67,E,532406,2844191,3/27/2012,0,NA,NA,0,1,Wet Prairie,NA,173,NA,173,NA,NA,NA,NA,NA
C1,1,0,P000,67_N,67,N,532380,2844212,3/27/2012,6,NA,NA,6,1,Ridge,NA,171,NA,165,NA,NA,NA,NA,NA
C1,1,0,P000,68_C,68,C,532342,2844093,3/27/2012,5,NA,NA,5,1,Ridge,NA,171,NA,166,NA,NA,NA,NA,NA
C1,1,0,P000,68_E,68,E,532370,2844083,3/27/2012,3,NA,NA,3,1,Ridge,NA,171,NA,168,NA,NA,NA,NA,NA
C1,1,0,P000,68_N,68,N,532344,2844098,3/27/2012,5,NA,NA,5,1,Ridge,NA,171,NA,166,NA,NA,NA,NA,NA
C1,1,0,P000,69_C,69,C,532368,2844339,3/27/2012,6,NA,NA,6,1,Ridge,NA,171,NA,165,NA,NA,NA,NA,NA
C1,1,0,P000,69_E,69,E,532396,2844329,3/27/2012,7,NA,NA,7,1,Wet Prairie,NA,171,NA,164,NA,NA,NA,NA,NA
C1,1,0,P000,69_N,69,N,532377,2844365,3/27/2012,6,NA,NA,6,0,Ridge,NA,171,NA,165,NA,NA,NA,NA,NA
C1,1,0,P000,70_C,70,C,532288,2844157,3/27/2012,2,NA,NA,2,1,Ridge,NA,171,NA,169,NA,NA,NA,NA,NA
C1,1,0,P000,70_E,70,E,532305,2844151,3/27/2012,0,NA,NA,0,1,Ridge,NA,171,NA,171,NA,NA,NA,NA,NA
C1,1,0,P000,70_N,70,N,532293,2844172,3/27/2012,6,NA,NA,6,1,Ridge/Wet Prairie,NA,171,NA,165,NA,NA,NA,NA,NA
C1,1,1,P001,01_C,1,C,566611,2940955,9/18/2009,29,NA,NA,29,1,Slough,NA,468,NA,439,NA,NA,NA,NA,NA
C1,1,1,P001,01_E,1,E,566615,2940956,9/18/2009,23,NA,NA,23,2,Tree Island,NA,468,NA,445,NA,NA,NA,NA,NA
C1,1,1,P001,02_C,2,C,566471,2941001,9/18/2009,32,NA,NA,32,1,Ridge/Slough,NA,468,NA,436,NA,NA,NA,NA,NA
C1,1,1,P001,02_E,2,E,566480,2941004,9/18/2009,27,NA,NA,27,3,Tree Island,NA,468,NA,441,NA,NA,NA,NA,NA
C1,1,1,P001,03_C,3,C,566583,2941026,9/18/2009,29,NA,NA,29,0,Slough,NA,468,NA,439,NA,NA,NA,NA,NA
C1,1,1,P001,03_E,3,E,566594,2941029,9/18/2009,29,NA,NA,29,0,Slough,NA,468,NA,439,NA,NA,NA,NA,NA
C1,1,1,P001,04_C,4,C,566667,2941037,9/18/2009,44,NA,NA,44,0,Slough,NA,468,NA,424,NA,NA,NA,NA,NA
C1,1,1,P001,04_E,4,E,566677,2941041,9/18/2009,26,NA,NA,26,0,Slough,NA,468,NA,442,NA,NA,NA,NA,NA
C1,1,1,P001,05_C,5,C,566702,2940915,9/18/2009,29,NA,NA,29,0,Slough,NA,468,NA,439,NA,NA,NA,NA,NA
C1,1,1,P001,05_E,5,E,566711,2940918,9/18/2009,33,NA,NA,33,0,Slough,NA,468,NA,435,NA,NA,NA,NA,NA
C1,1,1,P001,06_C,6,C,566679,2940964,9/18/2009,24,NA,NA,24,0,Ridge,NA,468,NA,444,NA,NA,NA,NA,NA
C1,1,1,P001,06_E,6,E,566688,2940967,9/18/2009,23,NA,NA,23,0,Tree Island,NA,468,NA,445,NA,NA,NA,NA,NA
C1,1,1,P001,07_C,7,C,566641,2940826,9/18/2009,23,NA,NA,23,3,Ridge,NA,468,NA,445,NA,NA,NA,NA,NA
C1,1,1,P001,07_E,7,E,566645,2940828,9/18/2009,21,NA,NA,21,3,Ridge,NA,468,NA,447,NA,NA,NA,NA,NA
C1,1,1,P001,08_C,8,C,566555,2940823,9/18/2009,25,NA,NA,25,0,Slough,NA,468,NA,443,NA,NA,NA,NA,NA
C1,1,1,P001,08_E,8,E,566564,2940826,9/18/2009,24,NA,NA,24,0,Slough,NA,468,NA,444,NA,NA,NA,NA,NA
C1,1,1,P001,09_C,9,C,566624,2940969,9/18/2009,23,NA,NA,23,2,Ridge,NA,468,NA,445,NA,NA,NA,NA,NA
C1,1,1,P001,09_E,9,E,566631,2940972,9/18/2009,34,NA,NA,34,0,Slough,NA,468,NA,434,NA,NA,NA,NA,NA
C1,1,1,P001,10_C,10,C,566667,2940886,9/18/2009,27,NA,NA,27,2,Tree Island,NA,468,NA,441,NA,NA,NA,NA,NA
C1,1,1,P001,10_E,10,E,566676,2940889,9/18/2009,17,NA,NA,17,0,Ridge,NA,468,NA,451,NA,NA,NA,NA,NA
C1,1,1,P001,11_C,11,C,567154,2941468,9/18/2009,30,NA,NA,30,2,Ridge,NA,468,NA,438,NA,NA,NA,NA,NA
C1,1,1,P001,11_E,11,E,567166,2941472,9/18/2009,25,NA,NA,25,3,Ridge,NA,468,NA,443,NA,NA,NA,NA,NA
C1,1,1,P001,12_C,12,C,567018,2941462,9/18/2009,27,NA,NA,27,1,Ridge/Slough,NA,468,NA,441,NA,NA,NA,NA,NA
C1,1,1,P001,12_E,12,E,567027,2941465,9/18/2009,25,NA,NA,25,2,Ridge,NA,468,NA,443,NA,NA,NA,NA,NA
C1,1,1,P001,13_C,13,C,567041,2941652,9/18/2009,32,NA,NA,32,1,Slough,NA,468,NA,436,NA,NA,NA,NA,NA
C1,1,1,P001,13_E,13,E,567049,2941654,9/18/2009,31,NA,NA,31,0,Slough,NA,468,NA,437,NA,NA,NA,NA,NA
C1,1,1,P001,14_C,14,C,566979,2941627,9/18/2009,28,NA,NA,28,1,Ridge,NA,468,NA,440,NA,NA,NA,NA,NA
C1,1,1,P001,14_E,14,E,566986,2941629,9/18/2009,30,NA,NA,30,1,Ridge,NA,468,NA,438,NA,NA,NA,NA,NA
C1,1,1,P001,15_C,15,C,567001,2941719,9/18/2009,21,NA,NA,21,2,Ridge,NA,468,NA,447,NA,NA,NA,NA,NA
C1,1,1,P001,15_E,15,E,567009,2941722,9/18/2009,24,NA,NA,24,2,Ridge,NA,468,NA,444,NA,NA,NA,NA,NA
C1,1,1,P001,16_C,16,C,566871,2941554,9/18/2009,30,NA,NA,30,1,Ridge,NA,468,NA,438,NA,NA,NA,NA,NA
C1,1,1,P001,16_E,16,E,566881,2941558,9/18/2009,15,NA,NA,15,0,Tree Island,NA,468,NA,453,NA,NA,NA,NA,NA
C1,1,1,P001,17_C,17,C,566959,2941767,9/18/2009,31,NA,NA,31,0,Slough,NA,468,NA,437,NA,NA,NA,NA,NA
C1,1,1,P001,17_E,17,E,566969,2941771,9/18/2009,31,NA,NA,31,0,Slough,NA,468,NA,437,NA,NA,NA,NA,NA
C1,1,1,P001,18_C,18,C,567040,2941628,9/18/2009,25,NA,NA,25,2,Slough,NA,468,NA,443,NA,NA,NA,NA,NA
C1,1,1,P001,18_E,18,E,567046,2941631,9/18/2009,30,NA,NA,30,1,Ridge,NA,468,NA,438,NA,NA,NA,NA,NA
C1,1,1,P001,19_C,19,C,567001,2941429,9/18/2009,30,NA,NA,30,1,Slough,NA,468,NA,438,NA,NA,NA,NA,NA
C1,1,1,P001,19_E,19,E,567010,2941432,9/18/2009,29,NA,NA,29,0,Slough,NA,468,NA,439,NA,NA,NA,NA,NA
C1,1,1,P001,20_C,20,C,566947,2941593,9/18/2009,21,NA,NA,21,2,Ridge,NA,468,NA,447,NA,NA,NA,NA,NA
C1,1,1,P001,20_E,20,E,566951,2941595,9/18/2009,22,NA,NA,22,2,Ridge,NA,468,NA,446,NA,NA,NA,NA,NA
C1,1,1,P001,21_C,21,C,567777,2941031,9/18/2009,31,NA,NA,31,0,Slough,NA,468,NA,437,NA,NA,NA,NA,NA
C1,1,1,P001,21_E,21,E,567779,2941031,9/18/2009,33,NA,NA,33,0,Slough,NA,468,NA,435,NA,NA,NA,NA,NA
C1,1,1,P001,22_C,22,C,567814,2941117,9/18/2009,24,NA,NA,24,1,Ridge,NA,468,NA,444,NA,NA,NA,NA,NA
C1,1,1,P001,22_E,22,E,567823,2941120,9/18/2009,20,NA,NA,20,2,Ridge,NA,468,NA,448,NA,NA,NA,NA,NA
C1,1,1,P001,23_C,23,C,567641,2941316,9/18/2009,37,NA,NA,37,2,Ridge,NA,468,NA,431,NA,NA,NA,NA,NA
C1,1,1,P001,23_E,23,E,567651,2941319,9/18/2009,0,NA,NA,0,0,Tree Island,NA,468,NA,468,NA,NA,NA,NA,NA
