"","PlotID","PSU_Cycle","SPCODE","Cover"
"149","P00028_1","C1","BACCAR","20"
"150","P00028_1","C1","CLAJAM","30"
"151","P00028_1","C1","CRIAME","30"
"152","P00028_1","C1","PANHEM","5"
"153","P00028_1","C1","PLUBAC","5"
"154","P00028_1","C1","UTRFOL","10"
"155","P00028_2","C1","CLAJAM","80"
"156","P00028_2","C1","ELECEL","1"
"157","P00028_2","C1","NYMAQU","5"
"158","P00028_3","C1","CLAJAM","90"
"159","P00029_1","C1","CLAJAM","50"
"160","P00029_2","C1","BACCAR","5"
"161","P00029_2","C1","CLAJAM","30"
"162","P00029_3","C1","CLAJAM","40"
"163","P00030_1","C1","BACCAR","20"
"164","P00030_1","C1","CLAJAM","50"
"165","P00030_1","C1","IPOSPP","10"
"166","P00030_2","C1","BACCAR","5"
"167","P00030_2","C1","CLAJAM","90"
"168","P00030_3","C1","BACCAR","1"
"169","P00030_3","C1","CEPOCC","50"
"170","P00030_3","C1","CLAJAM","60"
"171","P00030_3","C1","JUSANG","1"
"172","P00030_3","C1","POLHYD","5"
"173","P00032_1","C1","ELECEL","20"
"174","P00032_1","C1","ELEELO","10"
"175","P00032_1","C1","SAGLAN","5"
"176","P00032_2","C1","ELECEL","10"
"177","P00032_2","C1","ELEELO","10"
"178","P00032_2","C1","PASGEM","1"
"179","P00032_3","C1","ELECEL","30"
"180","P00032_3","C1","ELEELO","10"
"181","P00032_3","C1","PASGEM","20"
"182","P00033_1","C1","ELECEL","10"
"183","P00033_1","C1","ELEELO","10"
"184","P00033_2","C1","ELECEL","20"
"185","P00033_2","C1","ELEELO","5"
"186","P00033_2","C1","UTRFOL","20"
"187","P00033_3","C1","CLAJAM","40"
"188","P00033_3","C1","ELECEL","30"
"189","P00033_3","C1","ELEELO","5"
"190","P00034_1","C1","CLAJAM","70"
"191","P00034_1","C1","ELECEL","40"
"192","P00034_1","C1","ELEELO","30"
"193","P00034_2","C1","ELECEL","40"
"194","P00034_2","C1","UTRFOL","10"
"195","P00034_3","C1","ELECEL","10"
"196","P00034_3","C1","ELEELO","10"
"197","P00034_3","C1","UTRFOL","30"
"198","P00035_1","C1","CLAJAM","30"
"199","P00035_1","C1","CRIAME","10"
"200","P00035_1","C1","ELEELO","5"
"201","P00035_2","C1","CLAJAM","30"
"202","P00035_2","C1","ELEELO","5"
"203","P00035_3","C1","CLAJAM","30"
"204","P00037_1","C1","CLAJAM","20"
"205","P00037_1","C1","CRIAME","20"
"206","P00037_2","C1","CLAJAM","30"
"207","P00037_2","C1","CRIAME","5"
"208","P00037_2","C1","ELEELO","5"
"209","P00037_2","C1","UTRFOL","5"
"210","P00037_3","C1","ELECEL","10"
"211","P00037_3","C1","ELEELO","10"
"212","P00041_1","C1","CLAJAM","30"
"213","P00041_2","C1","AESPRA","1"
"214","P00041_2","C1","CLAJAM","10"
"215","P00041_2","C1","CRIAME","5"
"216","P00041_2","C1","ELECEL","10"
"217","P00041_3","C1","CLAJAM","40"
"218","P00041_3","C1","IPOSPP","10"
"219","P00041_3","C1","UTRFOL","5"
"220","P00042_1","C1","CLAJAM","30"
"221","P00042_1","C1","JUSANG","10"
"222","P00042_2","C1","CLAJAM","30"
"223","P00042_3","C1","CLAJAM","50"
"224","P00042_3","C1","IPOSPP","10"
"225","P00042_3","C1","TYPDOM","10"
"226","P00043_1","C1","CLAJAM","30"
"227","P00043_1","C1","IPOSPP","10"
"228","P00043_1","C1","PELVIR","1"
"229","P00043_2","C1","CLAJAM","20"
"230","P00043_2","C1","IPOSPP","5"
"231","P00043_2","C1","TYPDOM","10"
"232","P00043_3","C1","CLAJAM","30"
"233","P00043_3","C1","IPOSPP","5"
"234","P00043_3","C1","TYPDOM","10"
"235","P00044_1","C1","CLAJAM","50"
"236","P00044_1","C1","JUSANG","5"
"237","P00044_1","C1","PANHEM","1"
"238","P00044_2","C1","CLAJAM","80"
"239","P00044_2","C1","ELECEL","5"
"240","P00044_2","C1","JUSANG","5"
"241","P00044_2","C1","UTRFOL","5"
"242","P00044_3","C1","CLAJAM","20"
"243","P00045_1","C1","CLAJAM","50"
"244","P00045_1","C1","ELECEL","10"
"245","P00045_2","C1","CLAJAM","20"
"246","P00045_2","C1","ELECEL","10"
"247","P00045_3","C1","CLAJAM","30"
"248","P00046_1","C1","CLAJAM","15"
"249","P00046_1","C1","ELECEL","60"
"250","P00046_1","C1","UTRFOL","15"
"251","P00046_2","C1","CLAJAM","50"
"252","P00046_3","C1","CLAJAM","10"
"253","P00046_3","C1","ELECEL","80"
"254","P00046_3","C1","JUSANG","5"
"255","P00047_1","C1","CLAJAM","50"
"256","P00047_1","C1","IPOSPP","10"
"257","P00047_2","C1","CLAJAM","15"
"258","P00047_2","C1","IPOSPP","5"
"259","P00047_2","C1","NYMAQU","5"
"260","P00047_2","C1","PLUBAC","10"
"261","P00047_3","C1","CLAJAM","30"
"262","P00047_3","C1","IPOSPP","10"
"263","P00047_3","C1","JUSANG","5"
"264","P00048_1","C1","BACCAR","10"
"265","P00048_1","C1","CLAJAM","60"
"266","P00048_1","C1","ELEELO","5"
"267","P00048_1","C1","PANHEM","1"
"268","P00048_1","C1","UTRFOL","5"
"269","P00048_2","C1","CLAJAM","20"
"270","P00048_2","C1","ELECEL","5"
"271","P00048_2","C1","JUSANG","10"
"272","P00048_3","C1","CLAJAM","30"
"273","P00048_3","C1","ELECEL","5"
"274","P00048_3","C1","JUSANG","5"
"275","P00048_3","C1","UTRFOL","5"
"276","P00049_1","C1","BACCAR","1"
"277","P00049_1","C1","CLAJAM","50"
"278","P00049_2","C1","CLAJAM","30"
"279","P00049_2","C1","CRIAME","1"
"280","P00049_2","C1","ELECEL","5"
"281","P00049_2","C1","UTRFOL","5"
"282","P00049_2","C1","UTRPUR","1"
"283","P00049_3","C1","CLAJAM","25"
"284","P00049_3","C1","ELECEL","10"
"285","P00050_1","C1","CLAJAM","60"
"286","P00050_2","C1","CLAJAM","40"
"287","P00050_3","C1","BACCAR","30"
"288","P00050_3","C1","CLAJAM","20"
"289","P00066_1","C1","CLAJAM","30"
"290","P00066_1","C1","ELECEL","40"
"291","P00066_1","C1","SAGLAN","5"
"292","P00066_2","C1","CLAJAM","10"
"293","P00066_2","C1","ELECEL","60"
"294","P00066_2","C1","HYMLAT","5"
"295","P00066_2","C1","PELVIR","5"
"296","P00066_3","C1","CLAJAM","20"
"297","P00066_3","C1","CRIAME","15"
"298","P00067_1","C1","CLAJAM","60"
"299","P00067_1","C1","ELECEL","20"
"300","P00067_2","C1","CLAJAM","20"
"301","P00067_2","C1","CRIAME","20"
"302","P00067_2","C1","ELECEL","10"
"303","P00067_2","C1","JUSANG","5"
"304","P00067_2","C1","SAGLAN","1"
"305","P00067_3","C1","BACCAR","1"
"306","P00067_3","C1","CLAJAM","50"
"307","P00067_3","C1","SALCAR","10"
"308","P00068_1","C1","CLAJAM","30"
"309","P00068_1","C1","CRIAME","5"
"310","P00068_2","C1","CLAJAM","40"
"311","P00068_2","C1","CRIAME","5"
"312","P00068_3","C1","CLAJAM","40"
"313","P00068_3","C1","CRIAME","1"
"314","P00069_1","C1","CLAJAM","70"
"315","P00069_1","C1","ELECEL","20"
"316","P00069_2","C1","ELECEL","30"
"317","P00069_2","C1","JUSANG","5"
"318","P00069_2","C1","RHYTRA","5"
"319","P00069_2","C1","TYPDOM","20"
"320","P00069_3","C1","CLAJAM","50"
"321","P00070_1","C1","CLAJAM","20"
"322","P00070_1","C1","CRIAME","10"
"323","P00070_2","C1","CLAJAM","50"
"324","P00070_2","C1","CRIAME","10"
"325","P00070_2","C1","HYMLAT","5"
"326","P00070_3","C1","CLAJAM","30"
"327","P00070_3","C1","PELVIR","5"
"328","P00070_3","C1","UTRFOL","10"
"329","P00101_1","C1","BACCAR","1"
"330","P00101_1","C1","CLAJAM","2.5"
"331","P00101_1","C1","ELESPP","10"
"332","P00101_1","C1","NYMODO","2.5"
"333","P00101_1","C1","UTRPUR","1"
"334","P00101_2","C1","BACCAR","2.5"
"335","P00101_2","C1","CEPOCC","1"
"336","P00101_2","C1","CLAJAM","2.5"
"337","P00101_2","C1","ELESPP","2.5"
"338","P00101_2","C1","MORCER","1"
"339","P00101_2","C1","PELVIR","2.5"
"340","P00101_2","C1","RHYINU","1"
"341","P00102_1","C1","CLAJAM","1"
"342","P00102_1","C1","ELESPP","2.5"
"343","P00102_1","C1","NYMODO","2.5"
"344","P00102_1","C1","PANSPP","1"
"345","P00102_1","C1","UTRPUR","2.5"
"346","P00102_2","C1","CEPOCC","2.5"
"347","P00102_2","C1","CLAJAM","10"
"348","P00102_2","C1","LYGMIC","2.5"
"349","P00102_2","C1","UTRPUR","2.5"
"350","P00103_1","C1","ELESPP","2.5"
"351","P00103_1","C1","UTRPUR","10"
"352","P00103_2","C1","ELESPP","2.5"
"353","P00103_2","C1","NYMODO","2.5"
"354","P00103_2","C1","UTRPUR","2.5"
"355","P00104_1","C1","ELESPP","2.5"
"356","P00104_1","C1","NYMODO","2.5"
"357","P00104_1","C1","UTRPUR","10"
"358","P00104_2","C1","ELESPP","10"
"359","P00104_2","C1","NYMODO","2.5"
"360","P00104_2","C1","UTRPUR","2.5"
"361","P00105_1","C1","ELESPP","2.5"
"362","P00105_1","C1","NYMODO","2.5"
"363","P00105_1","C1","PANSPP","1"
"364","P00105_1","C1","UTRPUR","1"
"365","P00105_2","C1","ELESPP","2.5"
"366","P00105_2","C1","NYMODO","2.5"
"367","P00105_2","C1","PANSPP","1"
"368","P00105_2","C1","UTRPUR","1"
"369","P00106_1","C1","CLAJAM","2.5"
"370","P00106_1","C1","ELESPP","1"
"371","P00106_1","C1","PANSPP","1"
"372","P00106_1","C1","XYRSPP","1"
"373","P00106_2","C1","BACCAR","2.5"
"374","P00106_2","C1","CEPOCC","2.5"
"375","P00106_2","C1","ELESPP","2.5"
"376","P00106_2","C1","MORCER","1"
"377","P00106_2","C1","PONCOR","1"
"378","P00106_2","C1","UTRPUR","1"
"379","P00107_1","C1","CLAJAM","10"
"380","P00107_1","C1","LYGMIC","1"
"381","P00107_1","C1","PONCOR","2.5"
"382","P00107_2","C1","CEPOCC","1"
"383","P00107_2","C1","CLAJAM","24.5"
"384","P00107_2","C1","LYGMIC","1"
"385","P00107_2","C1","PELVIR","2.5"
"386","P00107_2","C1","PONCOR","1"
"387","P00108_1","C1","ELESPP","2.5"
"388","P00108_1","C1","NYMODO","1"
"389","P00108_1","C1","UTRPUR","2.5"
"390","P00108_2","C1","ELESPP","2.5"
"391","P00108_2","C1","NYMODO","2.5"
"392","P00108_2","C1","UTRPUR","1"
"393","P00109_1","C1","CEPOCC","1"
"394","P00109_1","C1","CLAJAM","2.5"
"395","P00109_1","C1","MORCER","1"
"396","P00109_1","C1","PELVIR","1"
"397","P00109_2","C1","BACCAR","1"
"398","P00109_2","C1","ELESPP","10"
"399","P00109_2","C1","NYMODO","2.5"
"400","P00109_2","C1","PANSPP","1"
"401","P00109_2","C1","UTRPUR","2.5"
"402","P00110_1","C1","CLAJAM","24.5"
"403","P00110_1","C1","MELQUI","1"
"404","P00110_1","C1","NYMODO","1"
"405","P00110_2","C1","ELESPP","2.5"
"406","P00110_2","C1","MELQUI","2.5"
"407","P00111_1","C1","CLAJAM","2.5"
"408","P00111_1","C1","NYMODO","1"
"409","P00111_1","C1","PELVIR","1"
"410","P00111_2","C1","CLAJAM","83"
"411","P00112_1","C1","CLAJAM","1"
"412","P00112_1","C1","NYMODO","1"
"413","P00112_1","C1","UTRPUR","2.5"
"414","P00112_2","C1","CLAJAM","24.5"
"415","P00112_2","C1","ELESPP","1"
"416","P00112_2","C1","UTRPUR","2.5"
"417","P00113_1","C1","CLAJAM","1"
"418","P00113_1","C1","ELESPP","2.5"
"419","P00113_1","C1","NYMODO","1"
"420","P00113_1","C1","UTRPUR","1"
"421","P00113_2","C1","BACCAR","1"
"422","P00113_2","C1","ELESPP","2.5"
"423","P00113_2","C1","NYMODO","2.5"
"424","P00113_2","C1","RHYINU","2.5"
"425","P00113_2","C1","UTRPUR","1"
"426","P00114_1","C1","CLAJAM","2.5"
"427","P00114_1","C1","ELESPP","1"
"428","P00114_1","C1","UTRPUR","1"
"429","P00114_2","C1","CLAJAM","10"
"430","P00114_2","C1","ELESPP","2.5"
"431","P00114_2","C1","UTRPUR","1"
"432","P00115_1","C1","CLAJAM","10"
"433","P00115_1","C1","LYGMIC","1"
"434","P00115_1","C1","MORCER","1"
"435","P00115_1","C1","PELVIR","1"
"436","P00115_1","C1","PLEPAR","1"
"437","P00115_2","C1","CLAJAM","2.5"
"438","P00115_2","C1","ELESPP","2.5"
"439","P00115_2","C1","PELVIR","2.5"
"440","P00115_2","C1","UTRPUR","2.5"
"441","P00116_1","C1","CLAJAM","2.5"
"442","P00116_1","C1","ELESPP","2.5"
"443","P00116_1","C1","UTRPUR","2.5"
"444","P00116_2","C1","CEPOCC","2.5"
"445","P00116_2","C1","ELESPP","2.5"
"446","P00116_2","C1","MORCER","24.5"
"447","P00116_2","C1","PLEPAR","2.5"
"448","P00116_2","C1","SCHTER","10"
"449","P00117_1","C1","ELESPP","2.5"
"450","P00117_1","C1","NYMODO","1"
"451","P00117_1","C1","UTRPUR","1"
"452","P00117_2","C1","ELESPP","10"
"453","P00117_2","C1","NYMODO","2.5"
"454","P00117_2","C1","UTRPUR","2.5"
"455","P00118_1","C1","CLAJAM","10"
"456","P00118_1","C1","PELVIR","1"
"457","P00118_2","C1","ELESPP","2.5"
"458","P00118_2","C1","PELVIR","1"
"459","P00118_2","C1","UTRPUR","2.5"
"460","P00119_1","C1","CLAJAM","1"
"461","P00119_1","C1","ELESPP","2.5"
"462","P00119_1","C1","PANSPP","1"
"463","P00119_1","C1","TYPDOM","1"
"464","P00119_2","C1","BACCAR","1"
"465","P00119_2","C1","ELESPP","2.5"
"466","P00119_2","C1","NYMODO","2.5"
"467","P00119_2","C1","PANSPP","10"
"468","P00119_2","C1","PONCOR","1"
"469","P00119_2","C1","UTRPUR","2.5"
"470","P00120_1","C1","CEPOCC","1"
"471","P00120_1","C1","CLAJAM","2.5"
"472","P00120_1","C1","MORCER","2.5"
"473","P00120_1","C1","PELVIR","1"
"474","P00120_2","C1","CLAJAM","10"
"475","P00120_2","C1","UTRPUR","2.5"
"476","P00121_1","C1","CLAJAM","2.5"
"477","P00121_1","C1","ELESPP","10"
"478","P00121_1","C1","NYMODO","1"
"479","P00121_1","C1","UTRPUR","10"
"480","P00121_2","C1","ELESPP","2.5"
"481","P00121_2","C1","NYMODO","1"
"482","P00121_2","C1","UTRPUR","10"
"483","P00122_1","C1","BACCAR","1"
"484","P00122_1","C1","CLAJAM","2.5"
"485","P00122_1","C1","ELESPP","2.5"
"486","P00122_2","C1","CLAJAM","24.5"
"487","P00122_2","C1","ELESPP","2.5"
"488","P00122_2","C1","MORCER","2.5"
"489","P00123_1","C1","CLAJAM","2.5"
"490","P00123_1","C1","PANSPP","1"
"491","P00123_1","C1","UTRPUR","2.5"
"492","P00123_2","C1","LYGMIC","1"
"493","P00123_2","C1","NYMODO","24.5"
"494","P00123_2","C1","PERBOR","1"
"495","P00123_2","C1","WOOVIR","2.5"
"496","P00124_1","C1","CLAJAM","24.5"
"497","P00124_1","C1","MORCER","1"
"498","P00124_2","C1","CLAJAM","24.5"
"499","P00124_2","C1","LYGMIC","1"
"500","P00124_2","C1","MORCER","2.5"
"501","P00124_2","C1","PLEPAR","1"
"502","P00125_1","C1","ELESPP","2.5"
"503","P00125_1","C1","NYMODO","1"
"504","P00125_1","C1","UTRPUR","2.5"
"505","P00125_2","C1","ELESPP","10"
"506","P00125_2","C1","NYMODO","2.5"
"507","P00125_2","C1","PELVIR","2.5"
"508","P00125_2","C1","UTRPUR","2.5"
"509","P00126_1","C1","CLAJAM","10"
"510","P00126_1","C1","MORCER","1"
"511","P00126_1","C1","PONCOR","1"
"512","P00126_2","C1","CLAJAM","24.5"
"513","P00126_2","C1","POLHIR","2.5"
"514","P00126_2","C1","UTRPUR","2.5"
"515","P00127_1","C1","BACCAR","1"
"516","P00127_1","C1","ELESPP","10"
"517","P00127_1","C1","NYMODO","2.5"
"518","P00127_1","C1","UTRPUR","1"
"519","P00127_2","C1","ELESPP","10"
"520","P00127_2","C1","NYMODO","2.5"
"521","P00127_2","C1","PANSPP","1"
"522","P00127_2","C1","RHYINU","1"
"523","P00127_2","C1","UTRPUR","1"
"524","P00128_1","C1","CLAJAM","10"
"525","P00128_1","C1","ELESPP","1"
"526","P00128_2","C1","ELESPP","10"
"527","P00128_2","C1","RHYINU","1"
"528","P00128_2","C1","UTRPUR","2.5"
"529","P00129_1","C1","ELESPP","10"
"530","P00129_1","C1","NYMODO","1"
"531","P00129_1","C1","UTRPUR","2.5"
"532","P00129_2","C1","ELESPP","24.5"
"533","P00129_2","C1","UTRPUR","1"
"534","P00130_1","C1","ELESPP","10"
"535","P00130_1","C1","NYMODO","1"
"536","P00130_1","C1","PANSPP","1"
"537","P00130_1","C1","RHYINU","1"
"538","P00130_1","C1","UTRPUR","2.5"
"539","P00130_2","C1","BACCAR","1"
"540","P00130_2","C1","ELESPP","2.5"
"541","P00130_2","C1","PANSPP","2.5"
"542","P00130_2","C1","PELVIR","1"
"543","P00130_2","C1","UTRPUR","10"
"544","P00131_1","C1","CEPOCC","2.5"
"545","P00131_1","C1","CLAJAM","10"
"546","P00131_1","C1","HYPSPP","2.5"
"547","P00131_1","C1","MORCER","2.5"
"548","P00131_2","C1","CLAJAM","24.5"
"549","P00131_2","C1","ELESPP","1"
"550","P00131_2","C1","PANSPP","1"
"551","P00132_1","C1","ELESPP","10"
"552","P00132_1","C1","NYMODO","2.5"
"553","P00132_1","C1","UTRPUR","2.5"
"554","P00132_2","C1","ELESPP","2.5"
"555","P00132_2","C1","NYMODO","1"
"556","P00132_2","C1","UTRPUR","2.5"
"557","P00133_1","C1","BACCAR","1"
"558","P00133_1","C1","CLAJAM","2.5"
"559","P00133_1","C1","ELESPP","2.5"
"560","P00133_1","C1","PANSPP","2.5"
"561","P00133_2","C1","BACCAR","1"
"562","P00133_2","C1","CLAJAM","2.5"
"563","P00133_2","C1","ELESPP","2.5"
"564","P00133_2","C1","PELVIR","1"
"565","P00133_2","C1","UTRPUR","1"
"566","P00134_1","C1","CLAJAM","24.5"
"567","P00134_1","C1","PELVIR","2.5"
"568","P00134_2","C1","CLAJAM","2.5"
"569","P00134_2","C1","ELESPP","2.5"
"570","P00134_2","C1","PELVIR","1"
"571","P00134_2","C1","UTRPUR","2.5"
"572","P00135_1","C1","CLAJAM","10"
"573","P00135_1","C1","ELESPP","1"
"574","P00135_1","C1","UTRPUR","2.5"
"575","P00135_1","C1","XYRSPP","2.5"
"576","P00135_2","C1","CLAJAM","2.5"
"577","P00135_2","C1","ELESPP","2.5"
"578","P00135_2","C1","UTRPUR","1"
"579","P00136_1","C1","CLAJAM","24.5"
"580","P00136_1","C1","UTRPUR","1"
"581","P00136_2","C1","CLAJAM","10"
"582","P00136_2","C1","HYPSPP","1"
"583","P00136_2","C1","LYGMIC","1"
"584","P00136_2","C1","MORCER","10"
"585","P00136_2","C1","PELVIR","1"
"586","P00137_1","C1","CLAJAM","10"
"587","P00137_1","C1","ELESPP","2.5"
"588","P00137_1","C1","UTRPUR","2.5"
"589","P00137_2","C1","CLAJAM","2.5"
"590","P00137_2","C1","ELESPP","2.5"
"591","P00137_2","C1","MORCER","1"
"592","P00137_2","C1","UTRPUR","1"
"593","P00138_1","C1","ELESPP","10"
"594","P00138_1","C1","HYPSPP","2.5"
"595","P00138_1","C1","MORCER","10"
"596","P00138_1","C1","TYPDOM","2.5"
"597","P00138_2","C1","CEPOCC","1"
"598","P00138_2","C1","CLAJAM","2.5"
"599","P00138_2","C1","ELESPP","1"
"600","P00138_2","C1","MORCER","2.5"
"601","P00138_2","C1","XYRSPP","1"
"602","P00139_1","C1","CLAJAM","24.5"
"603","P00139_2","C1","CEPOCC","1"
"604","P00139_2","C1","CLAJAM","2.5"
"605","P00139_2","C1","MORCER","1"
"606","P00139_2","C1","SCHTER","2.5"
"607","P00140_1","C1","CEPOCC","2.5"
"608","P00140_1","C1","CLAJAM","10"
"609","P00140_1","C1","MORCER","2.5"
"610","P00140_2","C1","BACCAR","1"
"611","P00140_2","C1","CLAJAM","10"
"612","P00140_2","C1","ELESPP","1"
"613","P00140_2","C1","UTRPUR","1"
"614","P00141_1","C1","BACCAR","2.5"
"615","P00141_1","C1","PELVIR","2.5"
"616","P00141_2","C1","CLAJAM","1"
"617","P00141_2","C1","ELESPP","2.5"
"618","P00141_2","C1","NYMODO","1"
"619","P00141_2","C1","PANSPP","1"
"620","P00142_1","C1","BACCAR","1"
"621","P00142_1","C1","ELESPP","10"
"622","P00142_1","C1","NYMODO","2.5"
"623","P00142_1","C1","PANSPP","2.5"
"624","P00142_1","C1","UTRPUR","10"
"625","P00142_2","C1","ELESPP","2.5"
"626","P00142_2","C1","NYMODO","2.5"
"627","P00142_2","C1","PANSPP","1"
"628","P00142_2","C1","UTRPUR","10"
"629","P00143_1","C1","CLAJAM","24.5"
"630","P00143_2","C1","CLAJAM","2.5"
"631","P00143_2","C1","LYGMIC","1"
"632","P00143_2","C1","PANSPP","2.5"
"633","P00143_2","C1","TYPDOM","2.5"
"634","P00144_1","C1","CLAJAM","10"
"635","P00144_2","C1","BACCAR","1"
