"","C123Merged_EnvSNO","C123_Plot_SNO","PlotID_New","PSUID","Cycle.x","Cycle_Year"
"162",4294,4433,"P02663_E","P026","C1","Yr2"
"163",4295,4434,"P02663_N","P026","C1","Yr2"
"164",4296,4435,"P02664_C","P026","C1","Yr2"
"165",4297,4436,"P02664_E","P026","C1","Yr2"
"166",4298,4437,"P02664_N","P026","C1","Yr2"
"167",4299,4438,"P02665_C","P026","C1","Yr2"
"168",4300,4439,"P02665_E","P026","C1","Yr2"
"169",4301,4440,"P02665_N","P026","C1","Yr2"
"170",4534,4673,"P02817_E","P028","C1","Yr2"
"171",4536,4675,"P02818_C","P028","C1","Yr2"
"172",4537,4676,"P02818_E","P028","C1","Yr2"
"173",4538,4677,"P02818_N","P028","C1","Yr2"
"174",4557,4696,"P02825_C","P028","C1","Yr2"
"175",4558,4697,"P02825_E","P028","C1","Yr2"
"176",4559,4698,"P02825_N","P028","C1","Yr2"
"177",4794,4933,"P03001_C","P030","C1","Yr2"
"178",4796,4935,"P03001_N","P030","C1","Yr2"
"179",4803,4942,"P03004_C","P030","C1","Yr2"
"180",4804,4943,"P03004_E","P030","C1","Yr2"
"181",4805,4944,"P03004_N","P030","C1","Yr2"
"182",4854,4993,"P03021_C","P030","C1","Yr2"
"183",4856,4995,"P03021_N","P030","C1","Yr2"
"184",4859,4998,"P03022_N","P030","C1","Yr2"
"185",4863,5002,"P03024_C","P030","C1","Yr2"
"186",4864,5003,"P03024_E","P030","C1","Yr2"
"187",4865,5004,"P03024_N","P030","C1","Yr2"
"188",4866,5005,"P03025_C","P030","C1","Yr2"
"189",4867,5006,"P03025_E","P030","C1","Yr2"
"190",4868,5007,"P03025_N","P030","C1","Yr2"
"191",4923,5062,"P03044_C","P030","C1","Yr2"
"192",4924,5063,"P03044_E","P030","C1","Yr2"
"193",4925,5064,"P03044_N","P030","C1","Yr2"
"194",4926,5065,"P03045_C","P030","C1","Yr2"
"195",4927,5066,"P03045_E","P030","C1","Yr2"
"196",4928,5067,"P03045_N","P030","C1","Yr2"
"197",4974,5113,"P03061_C","P030","C1","Yr2"
"198",4975,5114,"P03061_E","P030","C1","Yr2"
"199",4976,5115,"P03061_N","P030","C1","Yr2"
"200",4983,5122,"P03064_C","P030","C1","Yr2"
"201",4984,5123,"P03064_E","P030","C1","Yr2"
"202",4985,5124,"P03064_N","P030","C1","Yr2"
"203",4986,5125,"P03065_C","P030","C1","Yr2"
"204",4987,5126,"P03065_E","P030","C1","Yr2"
"205",4988,5127,"P03065_N","P030","C1","Yr2"
"206",5013,5152,"P03104_C","P031","C1","Yr2"
"207",5014,5153,"P03104_E","P031","C1","Yr2"
"208",5015,5154,"P03104_N","P031","C1","Yr2"
"209",5016,5155,"P03105_C","P031","C1","Yr2"
"210",5018,5157,"P03105_N","P031","C1","Yr2"
"211",5178,5317,"P03164_C","P031","C1","Yr2"
"212",5179,5318,"P03164_E","P031","C1","Yr2"
"213",5180,5319,"P03164_N","P031","C1","Yr2"
"214",6122,6391,"P04425_C","P044","C1","Yr3"
"215",6124,6393,"P04425_N","P044","C1","Yr3"
"216",8433,8987,"P06905_E","P069","C1","Yr5"
"217",8660,9226,"P07177_C","P071","C1","Yr5"
"218",8661,9227,"P07177_E","P071","C1","Yr5"
"219",8662,9228,"P07177_N","P071","C1","Yr5"
"220",8975,9562,"P10816_C","P108","C1","Yr1"
"221",8976,9563,"P10816_E","P108","C1","Yr1"
"222",8977,9564,"P10816_N","P108","C1","Yr1"
"223",8982,9569,"P10818_E","P108","C1","Yr1"
"224",8999,9586,"P10824_C","P108","C1","Yr1"
"225",9000,9587,"P10824_E","P108","C1","Yr1"
"226",9001,9588,"P10824_N","P108","C1","Yr1"
"227",9098,9685,"P10864_C","P108","C1","Yr1"
"228",9099,9686,"P10864_E","P108","C1","Yr1"
"229",9100,9687,"P10864_N","P108","C1","Yr1"
"230",10036,55,"P00024_C","P000","C2","Yr1"
"231",10038,57,"P00024_N","P000","C2","Yr1"
"232",10039,58,"P00025_C","P000","C2","Yr1"
"233",10041,60,"P00025_N","P000","C2","Yr1"
"234",10596,935,"P00666_C","P006","C2","Yr1"
"235",10598,937,"P00666_N","P006","C2","Yr1"
"236",10605,944,"P00669_C","P006","C2","Yr1"
"237",10606,945,"P00669_E","P006","C2","Yr1"
"238",10607,946,"P00669_N","P006","C2","Yr1"
"239",10608,947,"P00670_C","P006","C2","Yr1"
"240",10609,948,"P00670_E","P006","C2","Yr1"
"241",10610,949,"P00670_N","P006","C2","Yr1"
"242",11022,1840,"P01177_C","P011","C2","Yr1"
"243",11023,1841,"P01177_E","P011","C2","Yr1"
"244",11024,1842,"P01177_N","P011","C2","Yr1"
"245",11025,1843,"P01178_C","P011","C2","Yr1"
"246",11026,1844,"P01178_E","P011","C2","Yr1"
"247",11027,1845,"P01178_N","P011","C2","Yr1"
"248",11058,2260,"P01518_C","P015","C2","Yr1"
"249",11059,2261,"P01518_E","P015","C2","Yr1"
"250",11060,2262,"P01518_N","P015","C2","Yr1"
"251",11061,2272,"P01522_C","P015","C2","Yr1"
"252",11062,2273,"P01522_E","P015","C2","Yr1"
"253",11063,2274,"P01522_N","P015","C2","Yr1"
"254",11088,2329,"P01541_C","P015","C2","Yr1"
"255",11089,2330,"P01541_E","P015","C2","Yr1"
"256",11090,2331,"P01541_N","P015","C2","Yr1"
"257",11091,2332,"P01542_C","P015","C2","Yr1"
"258",11092,2333,"P01542_E","P015","C2","Yr1"
"259",11093,2334,"P01542_N","P015","C2","Yr1"
"260",11136,2404,"P01566_C","P015","C2","Yr1"
"261",11138,2406,"P01566_N","P015","C2","Yr1"
"262",11142,2413,"P01569_C","P015","C2","Yr1"
"263",11143,2414,"P01569_E","P015","C2","Yr1"
"264",11144,2415,"P01569_N","P015","C2","Yr1"
"265",11145,2416,"P01570_C","P015","C2","Yr1"
"266",11146,2417,"P01570_E","P015","C2","Yr1"
"267",11147,2418,"P01570_N","P015","C2","Yr1"
"268",11276,2742,"P01763_N","P017","C2","Yr2"
"269",11388,2926,"P01910_C","P019","C2","Yr2"
"270",11389,2927,"P01910_E","P019","C2","Yr2"
"271",11390,2928,"P01910_N","P019","C2","Yr2"
"272",11448,3019,"P01946_C","P019","C2","Yr2"
"273",11450,3021,"P01946_N","P019","C2","Yr2"
"274",11451,3022,"P01947_C","P019","C2","Yr2"
"275",11452,3023,"P01947_E","P019","C2","Yr2"
"276",11453,3024,"P01947_N","P019","C2","Yr2"
"277",11454,3031,"P01950_C","P019","C2","Yr2"
"278",11455,3032,"P01950_E","P019","C2","Yr2"
"279",11456,3033,"P01950_N","P019","C2","Yr2"
"280",11478,3073,"P01964_C","P019","C2","Yr2"
"281",11479,3074,"P01964_E","P019","C2","Yr2"
"282",11480,3075,"P01964_N","P019","C2","Yr2"
"283",11481,3076,"P01965_C","P019","C2","Yr2"
"284",11482,3077,"P01965_E","P019","C2","Yr2"
"285",11483,3078,"P01965_N","P019","C2","Yr2"
"286",11487,3085,"P01968_C","P019","C2","Yr2"
"287",11488,3086,"P01968_E","P019","C2","Yr2"
"288",11489,3087,"P01968_N","P019","C2","Yr2"
"289",11539,3173,"P02017_E","P020","C2","Yr2"
"290",12057,4267,"P02608_C","P026","C2","Yr2"
"291",12058,4268,"P02608_E","P026","C2","Yr2"
"292",12059,4269,"P02608_N","P026","C2","Yr2"
"293",12063,4273,"P02610_C","P026","C2","Yr2"
"294",12064,4274,"P02610_E","P026","C2","Yr2"
"295",12065,4275,"P02610_N","P026","C2","Yr2"
"296",12075,4294,"P02617_C","P026","C2","Yr2"
"297",12076,4295,"P02617_E","P026","C2","Yr2"
"298",12077,4296,"P02617_N","P026","C2","Yr2"
"299",12087,4306,"P02621_C","P026","C2","Yr2"
"300",12088,4307,"P02621_E","P026","C2","Yr2"
"301",12089,4308,"P02621_N","P026","C2","Yr2"
"302",12090,4309,"P02622_C","P026","C2","Yr2"
"303",12091,4310,"P02622_E","P026","C2","Yr2"
"304",12092,4311,"P02622_N","P026","C2","Yr2"
"305",12093,4312,"P02623_C","P026","C2","Yr2"
"306",12094,4313,"P02623_E","P026","C2","Yr2"
"307",12095,4314,"P02623_N","P026","C2","Yr2"
"308",12096,4315,"P02624_C","P026","C2","Yr2"
"309",12097,4316,"P02624_E","P026","C2","Yr2"
"310",12098,4317,"P02624_N","P026","C2","Yr2"
"311",12099,4318,"P02625_C","P026","C2","Yr2"
"312",12100,4319,"P02625_E","P026","C2","Yr2"
"313",12101,4320,"P02625_N","P026","C2","Yr2"
"314",12117,4372,"P02643_C","P026","C2","Yr2"
"315",12118,4373,"P02643_E","P026","C2","Yr2"
"316",12119,4374,"P02643_N","P026","C2","Yr2"
"317",12147,4426,"P02661_C","P026","C2","Yr2"
"318",12148,4427,"P02661_E","P026","C2","Yr2"
"319",12149,4428,"P02661_N","P026","C2","Yr2"
"320",12150,4429,"P02662_C","P026","C2","Yr2"
"321",12151,4430,"P02662_E","P026","C2","Yr2"
"322",12152,4431,"P02662_N","P026","C2","Yr2"
"323",12153,4432,"P02663_C","P026","C2","Yr2"
"324",12154,4433,"P02663_E","P026","C2","Yr2"
"325",12155,4434,"P02663_N","P026","C2","Yr2"
"326",12156,4435,"P02664_C","P026","C2","Yr2"
"327",12157,4436,"P02664_E","P026","C2","Yr2"
"328",12158,4437,"P02664_N","P026","C2","Yr2"
"329",12214,4673,"P02817_E","P028","C2","Yr2"
"330",12228,4696,"P02825_C","P028","C2","Yr2"
"331",12229,4697,"P02825_E","P028","C2","Yr2"
"332",12230,4698,"P02825_N","P028","C2","Yr2"
"333",12351,4993,"P03021_C","P030","C2","Yr2"
"334",12353,4995,"P03021_N","P030","C2","Yr2"
"335",12357,5005,"P03025_C","P030","C2","Yr2"
"336",12358,5006,"P03025_E","P030","C2","Yr2"
"337",12359,5007,"P03025_N","P030","C2","Yr2"
"338",12426,5113,"P03061_C","P030","C2","Yr2"
"339",12427,5114,"P03061_E","P030","C2","Yr2"
"340",12428,5115,"P03061_N","P030","C2","Yr2"
"341",12432,5122,"P03064_C","P030","C2","Yr2"
"342",12433,5123,"P03064_E","P030","C2","Yr2"
"343",12434,5124,"P03064_N","P030","C2","Yr2"
"344",12435,5125,"P03065_C","P030","C2","Yr2"
"345",12436,5126,"P03065_E","P030","C2","Yr2"
"346",12437,5127,"P03065_N","P030","C2","Yr2"
"347",12453,5152,"P03104_C","P031","C2","Yr2"
"348",12454,5153,"P03104_E","P031","C2","Yr2"
"349",12455,5154,"P03104_N","P031","C2","Yr2"
"350",12456,5155,"P03105_C","P031","C2","Yr2"
"351",12458,5157,"P03105_N","P031","C2","Yr2"
"352",12549,5317,"P03164_C","P031","C2","Yr2"
"353",12550,5318,"P03164_E","P031","C2","Yr2"
"354",12551,5319,"P03164_N","P031","C2","Yr2"
"355",13433,6391,"P04425_C","P044","C2","Yr3"
"356",13435,6393,"P04425_N","P044","C2","Yr3"
"357",15699,8987,"P06905_E","P069","C2","Yr5"
"358",15926,9226,"P07177_C","P071","C2","Yr5"
"359",15927,9227,"P07177_E","P071","C2","Yr5"
"360",15928,9228,"P07177_N","P071","C2","Yr5"
"361",16223,9586,"P10824_C","P108","C2","Yr1"
"362",16224,9587,"P10824_E","P108","C2","Yr1"
"363",16225,9588,"P10824_N","P108","C2","Yr1"
"364",16298,9685,"P10864_C","P108","C2","Yr1"
"365",16299,9686,"P10864_E","P108","C2","Yr1"
"366",16300,9687,"P10864_N","P108","C2","Yr1"
"367",17237,618,"P00356_C","P003","C2","Yr1"
"368",17238,619,"P00356_E","P003","C2","Yr1"
"369",17239,620,"P00356_N","P003","C2","Yr1"
"370",17240,621,"P00358_C","P003","C2","Yr1"
"371",17241,622,"P00358_E","P003","C2","Yr1"
"372",17242,623,"P00358_N","P003","C2","Yr1"
"373",17243,624,"P00359_C","P003","C2","Yr1"
"374",17244,625,"P00359_E","P003","C2","Yr1"
"375",17245,626,"P00359_N","P003","C2","Yr1"
"376",18661,2742,"P01763_N","P017","C3","Yr2"
"377",23203,8987,"P06905_E","P069","C3","Yr5"
"378",24733,618,"P00356_C","P003","C3","Yr1"
"379",24734,619,"P00356_E","P003","C3","Yr1"
"380",24735,620,"P00356_N","P003","C3","Yr1"
"381",24736,621,"P00358_C","P003","C3","Yr1"
"382",24737,622,"P00358_E","P003","C3","Yr1"
"383",24738,623,"P00358_N","P003","C3","Yr1"
"384",24739,624,"P00359_C","P003","C3","Yr1"
"385",24740,625,"P00359_E","P003","C3","Yr1"
"386",24741,626,"P00359_N","P003","C3","Yr1"
